id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso25022,justificacion
3348,1/10/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3411,1/10/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Quito,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3776,1/10/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3900,1/10/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3978,1/10/2025,Portal Citas,Usuario no logra agendar tras 3 intentos,Paciente,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1056,1/11/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Farmacia,Guayaquil,Eficiencia,"El usuario puede intentar completar la tarea, pero el problema incrementa tiempo, esfuerzo o consumo de recursos."
1272,1/11/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1328,1/11/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Quito,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2177,1/11/2025,Facturacion,Factura duplicada al reintentar pago,Admision,Cuenca,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2674,1/11/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Admision,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2695,1/11/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Cuenca,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3172,1/11/2025,App Movil,El boton de teleconsulta no redirige correctamente a la videollamada,Paciente,Cuenca,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3632,1/11/2025,HCE,Nota de evolucion tarda 19s en guardarse,Medico,Quito,Eficiencia,"El usuario puede intentar completar la tarea, pero el problema incrementa tiempo, esfuerzo o consumo de recursos."
1447,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2024,1/12/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2660,1/12/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Enfermeria,Ambato,Eficiencia,"El usuario puede intentar completar la tarea, pero el problema incrementa tiempo, esfuerzo o consumo de recursos."
3125,1/12/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Guayaquil,Cobertura de Contexto,"El problema aparece en un contexto específico de uso, dispositivo, canal o condición operativa."
3640,1/12/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3692,1/12/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1076,1/13/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1110,1/13/2025,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Medico,Guayaquil,Eficiencia,"El usuario puede intentar completar la tarea, pero el problema incrementa tiempo, esfuerzo o consumo de recursos."
1118,1/13/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1306,1/13/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1348,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
1632,1/13/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1814,1/13/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2297,1/13/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Paciente,Cuenca,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2334,1/13/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Manta,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3266,1/13/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Ambato,Cobertura de Contexto,"El problema aparece en un contexto específico de uso, dispositivo, canal o condición operativa."
3403,1/13/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Guayaquil,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3806,1/13/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3861,1/13/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3894,1/13/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1702,1/14/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Cuenca,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1729,1/14/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
1739,1/14/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Cuenca,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2410,1/14/2025,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2733,1/14/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Ambato,Cobertura de Contexto,"El problema aparece en un contexto específico de uso, dispositivo, canal o condición operativa."
2745,1/14/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Guayaquil,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2766,1/14/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Manta,Cobertura de Contexto,"El problema aparece en un contexto específico de uso, dispositivo, canal o condición operativa."
2812,1/14/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Quito,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2873,1/14/2025,Facturacion,Retraso de 10s al procesar el pago con tarjeta de credito,Paciente,Ambato,Eficiencia,"El usuario puede intentar completar la tarea, pero el problema incrementa tiempo, esfuerzo o consumo de recursos."
2941,1/14/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3795,1/14/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Manta,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1358,1/15/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Manta,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1528,1/15/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Guayaquil,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
1768,1/15/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito,Satisfacción,"El incidente afecta la comodidad, confianza o percepción positiva del usuario aunque no siempre bloquee la tarea principal."
2167,1/15/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Enfermeria,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3143,1/15/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3148,1/15/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1418,1/16/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Cuenca,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1672,1/16/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Cuenca,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2488,1/16/2025,Telemedicina,Paciente no puede unirse a la sala virtual a la hora agendada,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
2549,1/16/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3005,1/16/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Enfermeria,Ambato,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
3652,1/16/2025,Facturacion,Factura electronica no llega al correo registrado del paciente,Admision,Manta,Satisfacción,"El incidente afecta la comodidad, confianza o percepción positiva del usuario aunque no siempre bloquee la tarea principal."
3715,1/16/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Medico,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3959,1/16/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
3983,1/16/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Quito,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1080,1/17/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1369,1/17/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Guayaquil,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1744,1/17/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
2029,1/17/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Ambato,Efectividad,El incidente impide o degrada la completitud/precisión con que el usuario alcanza su objetivo principal.
1275,1/18/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Cuenca,Libertad de Riesgo,"El incidente puede generar impacto clínico, económico, de privacidad o seguridad para el paciente o la organización."
