respuesta_id,sede,rol,puntaje_csat,comentario
103,Guayaquil,Farmacia,1,La experiencia fue muy frustrante y no pude completar la tarea con confianza.
104,Quito,Admision,1,La experiencia fue muy frustrante y no pude completar la tarea con confianza.
105,Quito,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
106,Quito,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
107,Quito,Farmacia,1,La experiencia fue muy frustrante y no pude completar la tarea con confianza.
108,Quito,Enfermeria,1,La experiencia fue muy frustrante y no pude completar la tarea con confianza.
109,Guayaquil,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
110,Guayaquil,Enfermeria,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
111,Guayaquil,Paciente,5,"La experiencia fue clara, rapida y confiable."
112,Guayaquil,Medico,4,El sistema permitio completar la tarea con pocas fricciones.
113,Quito,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
114,Guayaquil,Enfermeria,4,El sistema permitio completar la tarea con pocas fricciones.
115,Cuenca,Gerencia,4,El sistema permitio completar la tarea con pocas fricciones.
116,Cuenca,Admision,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
117,Ambato,Enfermeria,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
118,Guayaquil,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
119,Cuenca,Medico,5,"La experiencia fue clara, rapida y confiable."
120,Quito,Medico,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
121,Cuenca,Gerencia,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
122,Guayaquil,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
123,Guayaquil,Enfermeria,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
124,Manta,Medico,1,La experiencia fue muy frustrante y no pude completar la tarea con confianza.
125,Quito,Gerencia,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
126,Quito,Paciente,5,"La experiencia fue clara, rapida y confiable."
127,Guayaquil,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
128,Cuenca,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
129,Quito,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
130,Quito,Medico,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
131,Manta,Paciente,5,"La experiencia fue clara, rapida y confiable."
132,Quito,Medico,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
133,Cuenca,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
134,Guayaquil,Admision,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
135,Guayaquil,Medico,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
136,Ambato,Medico,4,El sistema permitio completar la tarea con pocas fricciones.
137,Cuenca,Medico,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
138,Cuenca,Paciente,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
139,Manta,Paciente,5,"La experiencia fue clara, rapida y confiable."
140,Cuenca,Farmacia,4,El sistema permitio completar la tarea con pocas fricciones.
141,Guayaquil,Paciente,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
142,Quito,Enfermeria,4,El sistema permitio completar la tarea con pocas fricciones.
143,Quito,Admision,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
144,Quito,Farmacia,3,"La experiencia fue aceptable, aunque hay puntos de mejora."
145,Guayaquil,Enfermeria,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
146,Manta,Gerencia,2,"El sistema funciono, pero requirio demasiados intentos y apoyo."
147,Quito,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
148,Manta,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
149,Quito,Enfermeria,5,"La experiencia fue clara, rapida y confiable."
150,Cuenca,Enfermeria,4,El sistema permitio completar la tarea con pocas fricciones.
